Id_ARTICOLO              ;AAR_DESCRIZ                                       ;AAR_DESCRIZAGG                                    ;AAR_ART_TIPO        ;AAR_COD_MADRE        ;AAR_COD_RADICE       ;AAR_ID_UM                ;AAR_LISVEN01;AAR_LISVEN02;AAR_LISVEN03;AAR_LISVEN04;AAR_LISACQO1;AAR_ID_CLIFOR            ;AAR_LISACQO2;AAR_ID_CLIFOR_2         ;emptyColumn
AA2TUT                   ;TUTA ALTA VISIBILITA'                             ;255 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTAR                 ;TUTA ALTA VISIB.ARANCIO                           ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;23,43;24,78;            ;23,43;            ;0;            ;0;
AA2TUTAR L               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTARXL               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTARXX               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3                   ;GIUBBINO ALTA VISIBILITA'                         ;210 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR                 ;GIUBBINO ALTA VIS.ARANCIO                         ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;14,09;14,83;            ;14,09;            ;0;            ;0;
AAVGI3AR48               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR50               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR52               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR54               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR56               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIU                   ;GIUBBINO ALTA VISIBILITA'                         ;270 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
