Id_ZONA                  ;AZO_DESCRIZIONE                                   ;
0001                     ;ITALIA                                            ;
0002                     ;CREDITI/DEBITI PAESI U.E.                         ;
0003                     ;CREDITI/DEBITI EXTRA U.E.                         ;
0005                     ;ARABIA SAUDITA                                    ;
0008                     ;AUSTRIA                                           ;
0009                     ;BELGIO                                            ;
0010                     ;SPAGNA                                            ;
0011                     ;IRLANDA                                           ;
0012                     ;BULGARIA                                          ;
0021                     ;DANIMARCA                                         ;
0022                     ;TAIWAN                                            ;
0023                     ;EGITTO                                            ;
0029                     ;FRANCIA                                           ;
0032                     ;GRECIA                                            ;
0036                     ;PAKISTAN                                          ;
0037                     ;SAN MARINO                                        ;
0050                     ;PAESI BASSI                                       ;
0055                     ;PORTOGALLO                                        ;
0061                     ;ROMANIA                                           ;
0065                     ;SIRIA                                             ;
0071                     ;SVIZZERA                                          ;
0075                     ;TUNISIA                                           ;
0094                     ;GERMANIA                                          ;
0105                     ;MALTA                                             ;
0114                     ;INDIA                                             ;
0126                     ;KUWAIT                                            ;
0130                     ;BANGLADESH                                        ;
0182                     ;ISRAELE                                           ;
0242                     ;RAS EL KAIMAH                                     ;
0243                     ;SHARJAH                                           ;
0260                     ;SLOVENIA                                          ;
0261                     ;CROAZIA                                           ;
0274                     ;BOSNIA ERZEGOVINA                                 ;
0999                     ;                                                  ;
